epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
165,2553.16,0.95137,0.57301,0.99003,0.85575,0.94737,0.93652,0.62928,1.1514,0.69497,1.09442,0.0083764,0.0083764,0.0083764
166,2568.51,0.97159,0.57835,1.00188,0.91266,0.88001,0.93188,0.62552,1.18737,0.66199,1.10618,0.0083665,0.0083665,0.0083665
167,2583.93,0.97998,0.59328,1.00069,0.87489,0.95691,0.94953,0.65489,1.26653,0.61352,1.16547,0.0083566,0.0083566,0.0083566
168,2599.33,1.00622,0.60324,1.01084,0.90626,0.91579,0.9384,0.64615,1.24105,0.62034,1.11875,0.0083467,0.0083467,0.0083467
169,2614.65,0.97003,0.57697,0.99366,0.89192,0.89474,0.95009,0.66319,1.1443,0.60205,1.12866,0.0083368,0.0083368,0.0083368
170,2630,0.973,0.57341,0.98551,0.88995,0.91579,0.94789,0.64693,1.13943,0.62616,1.10854,0.0083269,0.0083269,0.0083269
171,2645.36,0.98707,0.59932,1.0106,0.90407,0.92632,0.93114,0.63458,1.12248,0.64075,1.09439,0.008317,0.008317,0.008317
172,2660.66,0.96648,0.56158,1.00391,0.88915,0.93684,0.91912,0.63081,1.17995,0.59674,1.08076,0.0083071,0.0083071,0.0083071
173,2675.97,0.96051,0.58713,0.9984,0.87233,0.93503,0.93896,0.63891,1.15105,0.64291,1.08137,0.0082972,0.0082972,0.0082972
174,2691.35,0.97731,0.59005,0.98943,0.894,0.88778,0.92706,0.63755,1.18502,0.61045,1.08657,0.0082873,0.0082873,0.0082873
175,2706.74,0.97946,0.60405,1.01096,0.87539,0.88736,0.92694,0.64437,1.1376,0.65606,1.09255,0.0082774,0.0082774,0.0082774
176,2722.13,0.97304,0.57997,1.00217,0.88763,0.93684,0.92178,0.63951,1.20715,0.75243,1.12459,0.0082675,0.0082675,0.0082675
